Saint,Miracle,Feat,Other Factoids,Something Fishy,Sources
Saint_Leticia,,,,,wikipedia as interpreted by spellsoftruth
Saint_Liberata_(Pizzone),,,,,wikipedia as interpreted by spellsoftruth
Saint_Lide,,,,,wikipedia as interpreted by spellsoftruth
Saint_Longinus,,,,,wikipedia as interpreted by spellsoftruth
Saint_Lucifer,,,,,wikipedia as interpreted by spellsoftruth
Saint_Lucy,,,,,wikipedia as interpreted by spellsoftruth
Saint_Maelrhys,,,,,wikipedia as interpreted by spellsoftruth
Saint_Maighneann,,,,,wikipedia as interpreted by spellsoftruth
Saint_Malachy,,,,,wikipedia as interpreted by spellsoftruth
Saint_Marcella,,,,,wikipedia as interpreted by spellsoftruth
Saint_Marcellina,,,,,wikipedia as interpreted by spellsoftruth
Saint_Margaret_of_England,,,,,wikipedia as interpreted by spellsoftruth
Saint_Margaret_of_Fontana,,,,,wikipedia as interpreted by spellsoftruth
Saint_Margaret_of_Hungary,,,,,wikipedia as interpreted by spellsoftruth
Saint_Margaret_of_Scotland,,,,,wikipedia as interpreted by spellsoftruth
Saint_Mari,,,,,wikipedia as interpreted by spellsoftruth
Saint_Marinus,,,,,wikipedia as interpreted by spellsoftruth
Saint_Markella,,,,,wikipedia as interpreted by spellsoftruth
Saint_Maro,,,,,wikipedia as interpreted by spellsoftruth
Saint_Martha_(French),,,,,wikipedia as interpreted by spellsoftruth
Saint_Martial,,,,,wikipedia as interpreted by spellsoftruth
Saint_Martiros,,,,,wikipedia as interpreted by spellsoftruth
Saint_Martyr_Agapius,,,,,wikipedia as interpreted by spellsoftruth
Saint_Materiana,,,,,wikipedia as interpreted by spellsoftruth
Saint_Matthias,,,,,wikipedia as interpreted by spellsoftruth
Saint_Maurice,,,,,wikipedia as interpreted by spellsoftruth
Saint_Maurus,,,,,wikipedia as interpreted by spellsoftruth
Saint_Maurus_of_P%C3%A9cs,,,,,wikipedia as interpreted by spellsoftruth
Saint_Maxellende_of_Caudry,,,,,wikipedia as interpreted by spellsoftruth
Saint_Maxentius,,,,,wikipedia as interpreted by spellsoftruth
Saint_Meinhard,,,,,wikipedia as interpreted by spellsoftruth
Saint_Mel,,,,,wikipedia as interpreted by spellsoftruth
Saint_Menas,,,,,wikipedia as interpreted by spellsoftruth
Saint_Mercurius,,,,,wikipedia as interpreted by spellsoftruth
Saint_Mesrob,,,,,wikipedia as interpreted by spellsoftruth
Saint_Methodius_of_Thessaloniki,,,,,wikipedia as interpreted by spellsoftruth
Saint_Mirin,,,,,wikipedia as interpreted by spellsoftruth
Saint_Mitre,,,,,wikipedia as interpreted by spellsoftruth
Saint_Monica,,,,,wikipedia as interpreted by spellsoftruth
Saint_Moura,,,,,wikipedia as interpreted by spellsoftruth
Saint_Mungo,,,,,wikipedia as interpreted by spellsoftruth
Saint_Naum,,,,,wikipedia as interpreted by spellsoftruth
Saint_Nicholas,,,,,wikipedia as interpreted by spellsoftruth
Saint_Nicomedes,,,,,wikipedia as interpreted by spellsoftruth
Saint_Ninian,,,,,wikipedia as interpreted by spellsoftruth
Saint_Nino,,,,,wikipedia as interpreted by spellsoftruth
Saint_Nohra,,,,,wikipedia as interpreted by spellsoftruth
Saint_Notburga,,,,,wikipedia as interpreted by spellsoftruth
Saint_Oda,,,,,wikipedia as interpreted by spellsoftruth
Saint_Optatus,,,,,wikipedia as interpreted by spellsoftruth
Saint_Osmund,,,,,wikipedia as interpreted by spellsoftruth
Saint_Othmar,,,,,wikipedia as interpreted by spellsoftruth
Saint_Otimus,,,,,wikipedia as interpreted by spellsoftruth
Saint_Ottone_Frangipane,,,,,wikipedia as interpreted by spellsoftruth
Saint_Ovidius,,,,,wikipedia as interpreted by spellsoftruth
Saint_Pammachius,,,,,wikipedia as interpreted by spellsoftruth
Saint_Pantaleon,,,,,wikipedia as interpreted by spellsoftruth
Saint_Pardus,,,,,wikipedia as interpreted by spellsoftruth
Saint_Paris,,,,,wikipedia as interpreted by spellsoftruth
Saint_Parthenius,,,,,wikipedia as interpreted by spellsoftruth
Saint_Paternian,,,,,wikipedia as interpreted by spellsoftruth
Saint_Patrick,,,,,wikipedia as interpreted by spellsoftruth
Saint_Paul,,,,,wikipedia as interpreted by spellsoftruth
Saint_Paula,,,,,wikipedia as interpreted by spellsoftruth
Saint_Pausilypus,,,,,wikipedia as interpreted by spellsoftruth
Saint_Peleus,,,,,wikipedia as interpreted by spellsoftruth
Saint_Perpetuus,,,,,wikipedia as interpreted by spellsoftruth
Saint_Peter,,,,,wikipedia as interpreted by spellsoftruth
Saint_Peter_of_Moscow,,,,,wikipedia as interpreted by spellsoftruth
Saint_Petronilla,,,,,wikipedia as interpreted by spellsoftruth
Saint_Petronius,,,,,wikipedia as interpreted by spellsoftruth
Saint_Pharmutius,,,,,wikipedia as interpreted by spellsoftruth
Saint_Philaretos,,,,,wikipedia as interpreted by spellsoftruth
Saint_Philotheos,,,,,wikipedia as interpreted by spellsoftruth
Saint_Phocas,,,,,wikipedia as interpreted by spellsoftruth
Saint_Piatus,,,,,wikipedia as interpreted by spellsoftruth
Saint_Pirmin,,,,,wikipedia as interpreted by spellsoftruth
Saint_Placidus,,,,,wikipedia as interpreted by spellsoftruth
Saint_Pollio,,,,,wikipedia as interpreted by spellsoftruth
Saint_Possidius,,,,,wikipedia as interpreted by spellsoftruth
Saint_Potenciana,,,,,wikipedia as interpreted by spellsoftruth
Saint_Pothinus,,,,,wikipedia as interpreted by spellsoftruth
Saint_Prisca,,,,,wikipedia as interpreted by spellsoftruth
Saint_Publius,,,,,wikipedia as interpreted by spellsoftruth
Saint_Pudens,,,,,wikipedia as interpreted by spellsoftruth
Saint_Quadratus,,,,,wikipedia as interpreted by spellsoftruth
Saint_Quentin,,,,,wikipedia as interpreted by spellsoftruth
Saint_Quirinus_of_Neuss,,,,,wikipedia as interpreted by spellsoftruth
Saint_Rais,,,,,wikipedia as interpreted by spellsoftruth
Saint_Regulus,,,,,wikipedia as interpreted by spellsoftruth
Saint_Remigius,,,,,wikipedia as interpreted by spellsoftruth
Saint_Renatus,,,,,wikipedia as interpreted by spellsoftruth
Saint_Reparata,,,,,wikipedia as interpreted by spellsoftruth
Saint_Richard_Martin,,,,,wikipedia as interpreted by spellsoftruth
Saint_Roch,,,,,wikipedia as interpreted by spellsoftruth
Saint_Roderick,,,,,wikipedia as interpreted by spellsoftruth
Saint_Roland,,,,,wikipedia as interpreted by spellsoftruth
Saint_Rosalia,,,,,wikipedia as interpreted by spellsoftruth
Saint_Rubin,,,,,wikipedia as interpreted by spellsoftruth
Saint_Rusticus_(Archbishop_of_Lyon),,,,,wikipedia as interpreted by spellsoftruth
Saint_Rusticus_of_Narbonne,,,,,wikipedia as interpreted by spellsoftruth
Saint_Sabina,,,,,wikipedia as interpreted by spellsoftruth
Saint_Sabinus,,,,,wikipedia as interpreted by spellsoftruth
Saint_Sarah,,,,,wikipedia as interpreted by spellsoftruth
Saint_Sava,,,,,wikipedia as interpreted by spellsoftruth
Saint_Sebastian,,,,,wikipedia as interpreted by spellsoftruth
Saint_Serapia,,,,,wikipedia as interpreted by spellsoftruth
Saint_Servatius,,,,,wikipedia as interpreted by spellsoftruth
Saint_Shushanik,,,,,wikipedia as interpreted by spellsoftruth
Saint_Silvia,,,,,wikipedia as interpreted by spellsoftruth
Saint_Sol,,,,,wikipedia as interpreted by spellsoftruth
Saint_Spyridon,,,,,wikipedia as interpreted by spellsoftruth
Saint_Stephanie,,,,,wikipedia as interpreted by spellsoftruth
Saint_Stephen,,,,,wikipedia as interpreted by spellsoftruth
Saint_Sturm,,,,,wikipedia as interpreted by spellsoftruth
Saint_Susanna,,,,,wikipedia as interpreted by spellsoftruth
Saint_Tatiana,,,,,wikipedia as interpreted by spellsoftruth
Saint_Taurinus,,,,,wikipedia as interpreted by spellsoftruth
Saint_Teilo,,,,,wikipedia as interpreted by spellsoftruth
Saint_Telemachus,,,,,wikipedia as interpreted by spellsoftruth
Saint_Theoclia,,,,,wikipedia as interpreted by spellsoftruth
Saint_Theophilus_of_Corte,,,,,wikipedia as interpreted by spellsoftruth
Saint_Thorlak,,,,,wikipedia as interpreted by spellsoftruth
Saint_Thyrsus,,,,,wikipedia as interpreted by spellsoftruth
Saint_Tiburtius,,,,,wikipedia as interpreted by spellsoftruth
Saint_Timothy,,,,,wikipedia as interpreted by spellsoftruth
Saint_Titus,,,,,wikipedia as interpreted by spellsoftruth
Saint_Trofimena,,,,,wikipedia as interpreted by spellsoftruth
Saint_Ubaldesca_Taccini,,,,,wikipedia as interpreted by spellsoftruth
Saint_Ultan,,,,,wikipedia as interpreted by spellsoftruth
Saint_Urbicius,,,,,wikipedia as interpreted by spellsoftruth
Saint_Ursula,,,,,wikipedia as interpreted by spellsoftruth
Saint_Valentine,,,,,wikipedia as interpreted by spellsoftruth
Saint_Varus,,,,,wikipedia as interpreted by spellsoftruth
Saint_Veronica,,,,,wikipedia as interpreted by spellsoftruth
Saint_Vibiana,,,,,wikipedia as interpreted by spellsoftruth
Saint_Vigor,,,,,wikipedia as interpreted by spellsoftruth
Saint_Vincenca,,,,,wikipedia as interpreted by spellsoftruth
Saint_Walpurga,,,,,wikipedia as interpreted by spellsoftruth
Saint_Xenia_the_Righteous_of_Rome,,,,,wikipedia as interpreted by spellsoftruth
Saint_Zoilus,,,,,wikipedia as interpreted by spellsoftruth
Saints_Chrysanthus_and_Daria,,,,,wikipedia as interpreted by spellsoftruth
Saints_Cosmas_and_Damian,,,,,wikipedia as interpreted by spellsoftruth
Saints_Cyril_and_Methodius,,,,,wikipedia as interpreted by spellsoftruth
"Saints_Evnuvios,_Paisios_and_Averikios",,,,,wikipedia as interpreted by spellsoftruth
"Saints_Faith,_Hope_and_Charity",,,,,wikipedia as interpreted by spellsoftruth
Saints_Nereus_and_Achilleus,,,,,wikipedia as interpreted by spellsoftruth
Saints_Sergius_and_Bacchus,,,,,wikipedia as interpreted by spellsoftruth
Saints_Tiburtius_and_Susanna,,,,,wikipedia as interpreted by spellsoftruth
Saints_Vitalis_and_Agricola,,,,,wikipedia as interpreted by spellsoftruth
Saints_of_the_Cristero_War,,,,,wikipedia as interpreted by spellsoftruth
Saizana,,,,,wikipedia as interpreted by spellsoftruth
Salaun,,,,,wikipedia as interpreted by spellsoftruth
Salomon_of_Cornwall,,,,,wikipedia as interpreted by spellsoftruth
Salomone_Leclercq,,,,,wikipedia as interpreted by spellsoftruth
Salonius,,,,,wikipedia as interpreted by spellsoftruth
Salvador_of_Horta,,,,,wikipedia as interpreted by spellsoftruth
Salvatore_of_Orta,,,,,wikipedia as interpreted by spellsoftruth
Salvius,,,,,wikipedia as interpreted by spellsoftruth
Salvius_(bishop),,,,,wikipedia as interpreted by spellsoftruth
Samson_of_Constantinople,,,,,wikipedia as interpreted by spellsoftruth
Samson_of_Dol,,,,,wikipedia as interpreted by spellsoftruth
Samthann,,,,,wikipedia as interpreted by spellsoftruth
Samuel_Ajayi_Crowther,,,,,wikipedia as interpreted by spellsoftruth
Samuel_Isaac_Joseph_Schereschewsky,,,,,wikipedia as interpreted by spellsoftruth
Samuel_of_Waldebba,,,,,wikipedia as interpreted by spellsoftruth
San_Geronimo,,,,,wikipedia as interpreted by spellsoftruth
Sancha_of_Portugal_(born_1264),,,,,wikipedia as interpreted by spellsoftruth
Sanctius,,,,,wikipedia as interpreted by spellsoftruth
Sapor_of_Bet-Nicator,,,,,wikipedia as interpreted by spellsoftruth
Sarah_of_the_Desert,,,,,wikipedia as interpreted by spellsoftruth
Sarah_the_Martyr,,,,,wikipedia as interpreted by spellsoftruth
Sarbel_and_Barbe,,,,,wikipedia as interpreted by spellsoftruth
Saturnin,,,,,wikipedia as interpreted by spellsoftruth
Saturninus_of_Cagliari,,,,,wikipedia as interpreted by spellsoftruth
Satyrus_of_Arezzo,,,,,wikipedia as interpreted by spellsoftruth
Satyrus_of_Milan,,,,,wikipedia as interpreted by spellsoftruth
Sava_II,,,,,wikipedia as interpreted by spellsoftruth
Sava_III,,,,,wikipedia as interpreted by spellsoftruth
Sava_Trlaji%C4%87,,,,,wikipedia as interpreted by spellsoftruth
Savina_Petrilli,,,,,wikipedia as interpreted by spellsoftruth
Savina_of_Milan,,,,,wikipedia as interpreted by spellsoftruth
Savinian_and_Potentian,,,,,wikipedia as interpreted by spellsoftruth
Savvas_the_New_of_Kalymnos,,,,,wikipedia as interpreted by spellsoftruth
Schema-Igumen_John_of_Valamo,,,,,wikipedia as interpreted by spellsoftruth
Scholastica,,,,,wikipedia as interpreted by spellsoftruth
Scillitan_Martyrs,,,,,wikipedia as interpreted by spellsoftruth
Seachnaill,,,,,wikipedia as interpreted by spellsoftruth
Seaxburh_of_Ely,,,,,wikipedia as interpreted by spellsoftruth
Sebaldus,,,,,wikipedia as interpreted by spellsoftruth
Sebastian_Maggi,,,,,wikipedia as interpreted by spellsoftruth
Sebastian_Newdigate,,,,,wikipedia as interpreted by spellsoftruth
Sebastian_Valfr%C3%A8,,,,,wikipedia as interpreted by spellsoftruth
Secondo_Pollo,,,,,wikipedia as interpreted by spellsoftruth
"Secundian,_Marcellian_and_Verian",,,,,wikipedia as interpreted by spellsoftruth
Secundinus,,,,,wikipedia as interpreted by spellsoftruth
Secundus_of_Asti,,,,,wikipedia as interpreted by spellsoftruth
Sen%C3%A1n_mac_Geirrcinn,,,,,wikipedia as interpreted by spellsoftruth
Senhorinha_of_Basto,,,,,wikipedia as interpreted by spellsoftruth
Senoch,,,,,wikipedia as interpreted by spellsoftruth
Senorina,,,,,wikipedia as interpreted by spellsoftruth
Septimius_of_Iesi,,,,,wikipedia as interpreted by spellsoftruth
Sequanus,,,,,wikipedia as interpreted by spellsoftruth
Seraphim_of_Sarov,,,,,wikipedia as interpreted by spellsoftruth
Seraphin_of_Montegranaro,,,,,wikipedia as interpreted by spellsoftruth
"Serapion,_Bishop_of_Thmuis",,,,,wikipedia as interpreted by spellsoftruth
Serapion_of_Algiers,,,,,wikipedia as interpreted by spellsoftruth
Serapion_of_Antioch,,,,,wikipedia as interpreted by spellsoftruth
Serapion_of_Macedonia,,,,,wikipedia as interpreted by spellsoftruth
Serapion_of_Novgorod,,,,,wikipedia as interpreted by spellsoftruth
Serenus_the_Gardener,,,,,wikipedia as interpreted by spellsoftruth
Sergios_Niketiates,,,,,wikipedia as interpreted by spellsoftruth
Sergius_and_Bacchus,,,,,wikipedia as interpreted by spellsoftruth
Sergius_of_Cappadocia,,,,,wikipedia as interpreted by spellsoftruth
Sergius_of_Radonezh,,,,,wikipedia as interpreted by spellsoftruth
Sergius_of_Valaam,,,,,wikipedia as interpreted by spellsoftruth
Servandus_and_Cermanus,,,,,wikipedia as interpreted by spellsoftruth
Servatius_of_Tongeren,,,,,wikipedia as interpreted by spellsoftruth
Seven_Deacons,,,,,wikipedia as interpreted by spellsoftruth
Seven_Sleepers,,,,,wikipedia as interpreted by spellsoftruth
Severa,,,,,wikipedia as interpreted by spellsoftruth
Severin_of_Cologne,,,,,wikipedia as interpreted by spellsoftruth
"Severinus,_Exuperius,_and_Felician",,,,,wikipedia as interpreted by spellsoftruth
Severinus_Boethius,,,,,wikipedia as interpreted by spellsoftruth
Severinus_of_Noricum,,,,,wikipedia as interpreted by spellsoftruth
Severinus_of_Sanseverino_and_Victorinus_of_Camerino,,,,,wikipedia as interpreted by spellsoftruth
Severinus_of_Septempeda,,,,,wikipedia as interpreted by spellsoftruth
Severus_of_Barcelona,,,,,wikipedia as interpreted by spellsoftruth
Severus_of_Naples,,,,,wikipedia as interpreted by spellsoftruth
Shalva_of_Akhaltsikhe,,,,,wikipedia as interpreted by spellsoftruth
Sharbel_Makhluf,,,,,wikipedia as interpreted by spellsoftruth
Shemon_Bar_Sabbae,,,,,wikipedia as interpreted by spellsoftruth
Shenouda_the_Archimandrite,,,,,wikipedia as interpreted by spellsoftruth
Shenute,,,,,wikipedia as interpreted by spellsoftruth
Shimun_XIX_Benyamin,,,,,wikipedia as interpreted by spellsoftruth
Siagrius,,,,,wikipedia as interpreted by spellsoftruth
Sicilia_(Roman_province),,,,,wikipedia as interpreted by spellsoftruth
Sidhom_Bishay,,,,,wikipedia as interpreted by spellsoftruth
Sidney_Hodgson,,,,,wikipedia as interpreted by spellsoftruth
Sidonius_Apollinaris,,,,,wikipedia as interpreted by spellsoftruth
Sigeberht_of_East_Anglia,,,,,wikipedia as interpreted by spellsoftruth
Sigebert_III_of_Austrasia,,,,,wikipedia as interpreted by spellsoftruth
Sigfrid_of_Sweden,,,,,wikipedia as interpreted by spellsoftruth
Sigiramnus,,,,,wikipedia as interpreted by spellsoftruth
Sigismund_of_Burgundy,,,,,wikipedia as interpreted by spellsoftruth
Silas,,,,,wikipedia as interpreted by spellsoftruth
Silouan_the_Athonite,,,,,wikipedia as interpreted by spellsoftruth
Silvanus_of_the_Seventy,,,,,wikipedia as interpreted by spellsoftruth
Silverius,,,,,wikipedia as interpreted by spellsoftruth
Silvester_Gizzolino,,,,,wikipedia as interpreted by spellsoftruth
Silvester_of_Troina,,,,,wikipedia as interpreted by spellsoftruth
Silvester_of_Valdiseve,,,,,wikipedia as interpreted by spellsoftruth
Sim%C3%A9on-Fran%C3%A7ois_Berneux,,,,,wikipedia as interpreted by spellsoftruth
Sim%C3%B3n_de_Rojas,,,,,wikipedia as interpreted by spellsoftruth
Simeon_(Gospel_of_Luke),,,,,wikipedia as interpreted by spellsoftruth
Simeon_Barsabae,,,,,wikipedia as interpreted by spellsoftruth
Simeon_Lukach,,,,,wikipedia as interpreted by spellsoftruth
Simeon_Stylites_the_Younger,,,,,wikipedia as interpreted by spellsoftruth
Simeon_of_Jerusalem,,,,,wikipedia as interpreted by spellsoftruth
Simeon_of_Mantua,,,,,wikipedia as interpreted by spellsoftruth
Simeon_of_Verkhoturye,,,,,wikipedia as interpreted by spellsoftruth
Simeon_the_Holy_Fool,,,,,wikipedia as interpreted by spellsoftruth
Simon_Stock,,,,,wikipedia as interpreted by spellsoftruth
Simon_de_Cr%C3%A9py,,,,,wikipedia as interpreted by spellsoftruth
Simon_of_Bet-Titta,,,,,wikipedia as interpreted by spellsoftruth
Simon_of_Lipnicza,,,,,wikipedia as interpreted by spellsoftruth
Simon_of_Trent,,,,,wikipedia as interpreted by spellsoftruth
Simon_the_Athonite,,,,,wikipedia as interpreted by spellsoftruth
Simon_the_Zealot,,,,,wikipedia as interpreted by spellsoftruth
Simpert,,,,,wikipedia as interpreted by spellsoftruth
Simplician,,,,,wikipedia as interpreted by spellsoftruth
"Simplicius,_Constantius_and_Victorinus",,,,,wikipedia as interpreted by spellsoftruth
"Simplicius,_Faustinus_and_Beatrix",,,,,wikipedia as interpreted by spellsoftruth
Sinicus,,,,,wikipedia as interpreted by spellsoftruth
Sisebut,,,,,wikipedia as interpreted by spellsoftruth
Sixtus_III,,,,,wikipedia as interpreted by spellsoftruth
Sixtus_of_Reims,,,,,wikipedia as interpreted by spellsoftruth
Socrates_and_Stephen,,,,,wikipedia as interpreted by spellsoftruth
Sofronie_of_Cioara,,,,,wikipedia as interpreted by spellsoftruth
Sojourner_Truth,,,,,wikipedia as interpreted by spellsoftruth
Solange,,,,,wikipedia as interpreted by spellsoftruth
Solanus_Casey,,,,,wikipedia as interpreted by spellsoftruth
Solomonia_Saburova,,,,,wikipedia as interpreted by spellsoftruth
Solutor,,,,,wikipedia as interpreted by spellsoftruth
Sophia_Olelkovich_Radziwill,,,,,wikipedia as interpreted by spellsoftruth
Sophia_of_Rome,,,,,wikipedia as interpreted by spellsoftruth
Sophia_the_Martyr,,,,,wikipedia as interpreted by spellsoftruth
Sophronius_of_Jerusalem,,,,,wikipedia as interpreted by spellsoftruth
Sosipater_of_Iconium,,,,,wikipedia as interpreted by spellsoftruth
Sossius,,,,,wikipedia as interpreted by spellsoftruth
Sosthenes,,,,,wikipedia as interpreted by spellsoftruth
Soteris,,,,,wikipedia as interpreted by spellsoftruth
Sperandea,,,,,wikipedia as interpreted by spellsoftruth
Sperandia,,,,,wikipedia as interpreted by spellsoftruth
"Speusippus,_Eleusippus_and_Melapsippus",,,,,wikipedia as interpreted by spellsoftruth
Spiridion,,,,,wikipedia as interpreted by spellsoftruth
St._Adele,,,,,wikipedia as interpreted by spellsoftruth
St._Adeloga_of_Kitzingen,,,,,wikipedia as interpreted by spellsoftruth
St._Alexius,,,,,wikipedia as interpreted by spellsoftruth
St._Bobo,,,,,wikipedia as interpreted by spellsoftruth
St._Brice,,,,,wikipedia as interpreted by spellsoftruth
St._Caradoc,,,,,wikipedia as interpreted by spellsoftruth
St._Giovanni_Leonardi,,,,,wikipedia as interpreted by spellsoftruth
St._Joachim_of_Ithaca,,,,,wikipedia as interpreted by spellsoftruth
St._Memmius,,,,,wikipedia as interpreted by spellsoftruth
St._Nerses_I,,,,,wikipedia as interpreted by spellsoftruth
St._Nicholas_of_Sofia,,,,,wikipedia as interpreted by spellsoftruth
St._Teresa_of_Jesus_Jornet,,,,,wikipedia as interpreted by spellsoftruth
St._Theodore_(died_820),,,,,wikipedia as interpreted by spellsoftruth
St_Machan,,,,,wikipedia as interpreted by spellsoftruth
Stachys_the_Apostle,,,,,wikipedia as interpreted by spellsoftruth
Stanis%C5%82aw_Kazimierczyk,,,,,wikipedia as interpreted by spellsoftruth
Stanislaus_Kostka,,,,,wikipedia as interpreted by spellsoftruth
Stanislaus_Papczy%C5%84ski,,,,,wikipedia as interpreted by spellsoftruth
Stanislaus_of_Szczepan%C3%B3w,,,,,wikipedia as interpreted by spellsoftruth
Stanley_Rother,,,,,wikipedia as interpreted by spellsoftruth
Stefan_%C5%A0tiljanovi%C4%87,,,,,wikipedia as interpreted by spellsoftruth
Stefan_De%C4%8Danski,,,,,wikipedia as interpreted by spellsoftruth
Stefan_Milutin,,,,,wikipedia as interpreted by spellsoftruth
Stefan_Nemanja,,,,,wikipedia as interpreted by spellsoftruth
Stefan_Wincenty_Frelichowski,,,,,wikipedia as interpreted by spellsoftruth
Stephan_of_Perm,,,,,wikipedia as interpreted by spellsoftruth
Stephen,,,,,wikipedia as interpreted by spellsoftruth
Stephen_Bellesini,,,,,wikipedia as interpreted by spellsoftruth
Stephen_Harding,,,,,wikipedia as interpreted by spellsoftruth
Stephen_I_of_Constantinople,,,,,wikipedia as interpreted by spellsoftruth
Stephen_I_of_Hungary,,,,,wikipedia as interpreted by spellsoftruth
Stephen_Min_Kuk-ka,,,,,wikipedia as interpreted by spellsoftruth
Stephen_Pongracz,,,,,wikipedia as interpreted by spellsoftruth
Stephen_of_Muret,,,,,wikipedia as interpreted by spellsoftruth
Stephen_of_Obazine,,,,,wikipedia as interpreted by spellsoftruth
Stephen_of_Perm,,,,,wikipedia as interpreted by spellsoftruth
Stephen_the_Younger,,,,,wikipedia as interpreted by spellsoftruth
Stilla,,,,,wikipedia as interpreted by spellsoftruth
Strataes,,,,,wikipedia as interpreted by spellsoftruth
"Sts._Vitus,_Modestus,_and_Crescentia",,,,,wikipedia as interpreted by spellsoftruth
Sturmi,,,,,wikipedia as interpreted by spellsoftruth
Suitbert_of_Kaiserswerdt,,,,,wikipedia as interpreted by spellsoftruth
Sulpicius_II,,,,,wikipedia as interpreted by spellsoftruth
Sulpitius_I_of_Bourges,,,,,wikipedia as interpreted by spellsoftruth
Sunniva,,,,,wikipedia as interpreted by spellsoftruth
Susanna_(disciple),,,,,wikipedia as interpreted by spellsoftruth
Swithin,,,,,wikipedia as interpreted by spellsoftruth
Swithun,,,,,wikipedia as interpreted by spellsoftruth
Swithun_Wells,,,,,wikipedia as interpreted by spellsoftruth
Syagrius_of_Nice,,,,,wikipedia as interpreted by spellsoftruth
Sydney_Kirkby,,,,,wikipedia as interpreted by spellsoftruth
Sylvester_Gozzolini,,,,,wikipedia as interpreted by spellsoftruth
Sylvester_of_the_River_Obnora,,,,,wikipedia as interpreted by spellsoftruth
Symeon_Stylites_of_Lesbos,,,,,wikipedia as interpreted by spellsoftruth
Symeon_of_Trier,,,,,wikipedia as interpreted by spellsoftruth
Symeon_the_Metaphrast,,,,,wikipedia as interpreted by spellsoftruth
Symeon_the_New_Theologian,,,,,wikipedia as interpreted by spellsoftruth
Symphorian_and_Timotheus,,,,,wikipedia as interpreted by spellsoftruth
Symphorosa,,,,,wikipedia as interpreted by spellsoftruth
Syrus_of_Genoa,,,,,wikipedia as interpreted by spellsoftruth
Syrus_of_Pavia,,,,,wikipedia as interpreted by spellsoftruth
Szymon_of_Lipnica,,,,,wikipedia as interpreted by spellsoftruth
Talarican,,,,,wikipedia as interpreted by spellsoftruth
Tallanus,,,,,wikipedia as interpreted by spellsoftruth
Tamar_of_Georgia,,,,,wikipedia as interpreted by spellsoftruth
Tanca,,,,,wikipedia as interpreted by spellsoftruth
"Tancred,_Torthred,_and_Tova",,,,,wikipedia as interpreted by spellsoftruth
Tarasios_of_Constantinople,,,,,wikipedia as interpreted by spellsoftruth
Tarasius,,,,,wikipedia as interpreted by spellsoftruth
Tarcisius,,,,,wikipedia as interpreted by spellsoftruth
Tarsicius,,,,,wikipedia as interpreted by spellsoftruth
Tarsykia_Matskiv,,,,,wikipedia as interpreted by spellsoftruth
Tassac,,,,,wikipedia as interpreted by spellsoftruth
Tassach,,,,,wikipedia as interpreted by spellsoftruth
"Tassilo_III,_Duke_of_Bavaria",,,,,wikipedia as interpreted by spellsoftruth
Tatberht,,,,,wikipedia as interpreted by spellsoftruth
Tatiana_of_Rome,,,,,wikipedia as interpreted by spellsoftruth
Tatwine,,,,,wikipedia as interpreted by spellsoftruth
Tbeli_Abuserisdze,,,,,wikipedia as interpreted by spellsoftruth
Tegulus,,,,,wikipedia as interpreted by spellsoftruth
Tekle_Haymanot,,,,,wikipedia as interpreted by spellsoftruth
Ten_thousand_martyrs,,,,,wikipedia as interpreted by spellsoftruth
Terence_Albert_O%27Brien,,,,,wikipedia as interpreted by spellsoftruth
Terence_of_Pesaro,,,,,wikipedia as interpreted by spellsoftruth
Terentian,,,,,wikipedia as interpreted by spellsoftruth
Teresa_Bracco,,,,,wikipedia as interpreted by spellsoftruth
Teresa_Grillo_Michel,,,,,wikipedia as interpreted by spellsoftruth
Teresa_Jornet_Ibars,,,,,wikipedia as interpreted by spellsoftruth
Teresa_Margaret_Redi,,,,,wikipedia as interpreted by spellsoftruth
Teresa_Margaret_of_the_Sacred_Heart,,,,,wikipedia as interpreted by spellsoftruth
Teresa_of_%C3%81vila,,,,,wikipedia as interpreted by spellsoftruth
Teresa_of_Avila,,,,,wikipedia as interpreted by spellsoftruth
Teresa_of_Calcutta,,,,,wikipedia as interpreted by spellsoftruth
Teresa_of_the_Andes,,,,,wikipedia as interpreted by spellsoftruth
Ternopil_Raion,,,,,wikipedia as interpreted by spellsoftruth
Tertius_of_Iconium,,,,,wikipedia as interpreted by spellsoftruth
Tetricus_of_Langres,,,,,wikipedia as interpreted by spellsoftruth
Tetta,,,,,wikipedia as interpreted by spellsoftruth
Th%C3%A9odore_Gu%C3%A9rin,,,,,wikipedia as interpreted by spellsoftruth
Th%C3%A9ophane_V%C3%A9nard,,,,,wikipedia as interpreted by spellsoftruth
Th%C3%A9r%C3%A8se_Couderc,,,,,wikipedia as interpreted by spellsoftruth
Th%C3%A9r%C3%A8se_of_Lisieux,,,,,wikipedia as interpreted by spellsoftruth
Thaddeus_MacCarthy,,,,,wikipedia as interpreted by spellsoftruth
Thaddeus_of_Edessa,,,,,wikipedia as interpreted by spellsoftruth
Thalassius_of_Syria,,,,,wikipedia as interpreted by spellsoftruth
Thamel_(martyr),,,,,wikipedia as interpreted by spellsoftruth
Thaumaturgy,,,,,wikipedia as interpreted by spellsoftruth
The_Massabki_Brothers,,,,,wikipedia as interpreted by spellsoftruth
Theban_Legion,,,,,wikipedia as interpreted by spellsoftruth
